"ENSEMBL"	"wt6h_wt0h"	"wt24h_wt0h"	"wt48h_wt0h"	"wt336h_wt0h"	"wtRC12h_wt0h"	"ENTREZID"	"SYMBOL"	"GENENAME"	"TF"	"PC"	"gene_cluster"
"ENSMUSG00000048047"	0.272316964244336	0.152958837054179	-0.325550707614532	-0.00166521481163945	-0.246527347537883	"56805"	"Zbtb33"	"zinc finger and BTB domain containing 33"	"yes"	"others"	"cluster 5"
"ENSMUSG00000031103"	0.131046515903346	0.13596465134586	0.0785714977491626	-0.00189087172248653	0.271732109845647	"56501"	"Elf4"	"E74-like factor 4 (ets domain transcription factor)"	"yes"	"others"	"cluster 5"
"ENSMUSG00000079509"	-0.0379855185488093	0.0107997172433094	-0.417836362297928	0.00483720439540753	0.0573852252656827	"22764"	"Zfx"	"zinc finger protein X-linked"	"yes"	"others"	"cluster 5"
"ENSMUSG00000042903"	-1.50620296263404	-0.559427274933049	-0.254285581968995	-0.00657057525751491	-0.282366972747895	"54601"	"Foxo4"	"forkhead box O4"	"yes"	"others"	"cluster 6"
"ENSMUSG00000044167"	-1.26430546475351	-0.121488202317575	-0.693283602437167	-0.00363150688954171	-0.319337717710371	"56458"	"Foxo1"	"forkhead box O1"	"yes"	"others"	"cluster 7"
"ENSMUSG00000003382"	0.200774421706301	0.180673597109709	0.758060199842077	-0.000906415418136167	0.157705909671481	"27049"	"Etv3"	"ets variant 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000028042"	0.177303174202468	0.142674740582104	0.343278440907146	-0.00623682545071231	0.908536301353173	"22724"	"Zbtb7b"	"zinc finger and BTB domain containing 7B"	"yes"	"others"	"cluster 5"
"ENSMUSG00000005774"	-0.172574828106169	-0.177574622794386	-0.0479562976309058	-0.00359625075225306	-0.207859687733754	"53970"	"Rfx5"	"regulatory factor X, 5 (influences HLA class II expression)"	"yes"	"others"	"cluster 5"
"ENSMUSG00000015522"	0.0626892382809683	-0.0257887688667593	-0.316486876745566	0.000169561798092575	0.0212869940220924	"11863"	"Arnt"	"aryl hydrocarbon receptor nuclear translocator"	"yes"	"others"	"cluster 5"
"ENSMUSG00000028163"	0.0618474352395087	0.204637794228273	-0.144808148725429	-0.00166240403728134	-0.126939493408213	"18033"	"Nfkb1"	"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105"	"yes"	"others"	"cluster 5"
"ENSMUSG00000003282"	-0.19847025380588	-0.0252733724135154	0.0192301746924481	-8.04264207239553e-05	-0.00239615537959213	"56711"	"Plag1"	"pleiomorphic adenoma gene 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000040270"	-1.96867952062585	-0.370258089234686	-1.45857592629164	0.00198577302037038	-0.230970282982216	"12014"	"Bach2"	"BTB and CNC homology, basic leucine zipper transcription factor 2"	"yes"	"others"	"cluster 7"
"ENSMUSG00000028466"	0.189540741062281	0.167807969124055	0.176180508475064	0.00146343726252859	0.076259740044054	"12913"	"Creb3"	"cAMP responsive element binding protein 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000003032"	1.7136110014867	1.65313754549659	0.508770842221272	-0.0286390046443297	-0.163725670220637	"16600"	"Klf4"	"Kruppel-like factor 4 (gut)"	"yes"	"PC2"	"cluster 2"
"ENSMUSG00000008575"	1.49941177558317	0.284699918756144	-0.0443938027787556	-0.00614637465115238	-0.195917527656261	"18028"	"Nfib"	"nuclear factor I/B"	"yes"	"others"	"cluster 3"
"ENSMUSG00000052684"	0.317239152943284	0.126488446207205	-0.438056736368265	0.00146662453147701	-0.579924112833748	"16476"	"Jun"	"jun proto-oncogene"	"yes"	"others"	"cluster 5"
"ENSMUSG00000028565"	-1.26468312919819	-0.166946498675533	-0.830250048775605	-0.0105684686684186	-0.032534638518094	"18027"	"Nfia"	"nuclear factor I/A"	"yes"	"others"	"cluster 6"
"ENSMUSG00000028717"	-0.50719050193513	-0.142319607295674	-0.083224308108786	0.0029199054583375	-0.144149318303676	"21349"	"Tal1"	"T cell acute lymphocytic leukemia 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000045268"	-1.91180337945414	-0.727239500511446	-0.997978908926895	-0.00448543113780655	-1.24526151464551	"195522"	"Zfp691"	"zinc finger protein 691"	"yes"	"PC2"	"cluster 7"
"ENSMUSG00000028890"	0.405144230813042	0.404774421639113	-0.233261851723181	0.00190874111730605	0.0758521566921409	"17764"	"Mtf1"	"metal response element binding transcription factor 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000028901"	-0.12797935800201	-0.185552899186103	-0.400468792310359	0.000215462118742157	-0.343677587683047	"56809"	"Gmeb1"	"glucocorticoid modulatory element binding protein 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000070691"	0.16155419877325	0.146582568062821	0.0443028657428301	-0.000169909643477788	-0.00516893097148661	"12399"	"Runx3"	"runt related transcription factor 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000018983"	-2.23141755356764	0.184610757793721	0.821763728732863	-0.0149865746743787	0.0897701878881558	"242705"	"E2f2"	"E2F transcription factor 2"	"yes"	"others"	"cluster 6"
"ENSMUSG00000029135"	1.81839050825982	0.732535398712257	0.652913972641131	-0.00198026187625336	0.353334232780839	"14284"	"Fosl2"	"fos-like antigen 2"	"yes"	"others"	"cluster 2"
"ENSMUSG00000029127"	-0.259669324678992	-0.311909717123142	-0.251652669758864	0.00211679377729273	-0.153231500610126	"75079"	"Zbtb49"	"zinc finger and BTB domain containing 49"	"yes"	"others"	"cluster 5"
"ENSMUSG00000029238"	-0.294502395239387	0.412660052646539	-0.108357775832954	0.00752041102852734	0.0435190473121275	"12753"	"Clock"	"circadian locomotor output cycles kaput"	"yes"	"others"	"cluster 5"
"ENSMUSG00000029249"	-0.442666035204352	0.227188342391435	-0.550232313216889	0.0119434251178214	0.19153895887718	"19712"	"Rest"	"RE1-silencing transcription factor"	"yes"	"others"	"cluster 5"
"ENSMUSG00000038342"	0.965485059907204	0.540606704061484	0.670087665317323	0.0290869243598984	0.204597286881063	"208104"	"Mlxip"	"MLX interacting protein"	"yes"	"others"	"cluster 3"
"ENSMUSG00000005373"	-0.305629817105094	-0.52681317830048	0.131314363408827	0.00257576265572713	0.238936232136118	"58805"	"Mlxipl"	"MLX interacting protein-like"	"yes"	"others"	"cluster 5"
"ENSMUSG00000018143"	0.662911518888737	0.194180693276367	0.161423555305302	-0.0017915773593523	0.107874749315565	"17135"	"Mafk"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)"	"yes"	"others"	"cluster 5"
"ENSMUSG00000029553"	3.45695341413721	0.132867237463536	0.193239772356365	0.000258238931447998	-0.263464813994745	"21426"	"Tfec"	"transcription factor EC"	"yes"	"others"	"cluster 2"
"ENSMUSG00000029771"	0.00695574581867098	-0.0915001550788795	-0.314201636922895	0.00197802911881269	-0.111824641691565	"27056"	"Irf5"	"interferon regulatory factor 5"	"yes"	"others"	"cluster 5"
"ENSMUSG00000058440"	0.0772154943428098	-0.0502281595750949	-0.0594042806857177	0.00235621397866023	0.000217565896023189	"18181"	"Nrf1"	"nuclear respiratory factor 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000038648"	0.920115316027033	-0.0947473346921595	0.0974750180462955	-0.00216053810680609	0.38026119613339	"208647"	"Creb3l2"	"cAMP responsive element binding protein 3-like 2"	"yes"	"others"	"cluster 3"
"ENSMUSG00000053007"	0.88755704688853	0.607265676228745	-0.122661032277292	-0.0129008219488756	0.267530018802881	"231991"	"Creb5"	"cAMP responsive element binding protein 5"	"yes"	"others"	"cluster 3"
"ENSMUSG00000005893"	-0.946609051955023	0.0205292788472049	-0.41973823305865	-0.00159977436017328	-0.166290810802232	"22026"	"Nr2c2"	"nuclear receptor subfamily 2, group C, member 2"	"yes"	"others"	"cluster 6"
"ENSMUSG00000035158"	-1.461244981868	-0.300121878661128	-0.235567467251091	0.0127295903733827	-0.129548654203394	"17342"	"Mitf"	"melanogenesis associated transcription factor"	"yes"	"others"	"cluster 6"
"ENSMUSG00000030103"	0.790128280581181	0.137450941757782	0.313406577739115	0.00550575350435981	0.270117584474918	"20893"	"Bhlhe40"	"basic helix-loop-helix family, member e40"	"yes"	"others"	"cluster 3"
"ENSMUSG00000000440"	0.257131241940545	0.0478547381392621	0.00447663817850804	-0.000100862286011798	-0.00307204390788549	"19016"	"Pparg"	"peroxisome proliferator activated receptor gamma"	"yes"	"others"	"cluster 5"
"ENSMUSG00000030199"	1.6284136732911	0.480516526148893	0.328357738574637	0.0108981282315982	0.76108949887007	"14011"	"Etv6"	"ets variant 6"	"yes"	"others"	"cluster 3"
"ENSMUSG00000030256"	-0.457841634033864	-0.0668832106026667	-0.23327555285684	0.00165850945252991	0.348160162963263	"79362"	"Bhlhe41"	"basic helix-loop-helix family, member e41"	"yes"	"others"	"cluster 5"
"ENSMUSG00000030380"	-0.0599000254793439	0.159819596795905	0.544675920705526	0.00421836472047816	-0.0600902674586822	"109889"	"Mzf1"	"myeloid zinc finger 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000041420"	-0.258707873083595	0.227380617146662	-0.1180613741528	-0.00145039484743897	-0.682763010734049	"17537"	"Meis3"	"Meis homeobox 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000003545"	1.09324875336243	0.25828954374488	-0.14303483479056	-0.0221609919916421	-1.23328700786897	"14282"	"Fosb"	"FBJ osteosarcoma oncogene B"	"yes"	"PC2"	"cluster 3"
"ENSMUSG00000002983"	1.61440897665873	0.211602155905437	0.602412927690532	-0.000372079409403191	0.0950829157971178	"19698"	"Relb"	"avian reticuloendotheliosis viral (v-rel) oncogene related B"	"yes"	"others"	"cluster 3"
"ENSMUSG00000040857"	-0.859946526137777	-0.44672628539946	-0.828628998339177	-0.00405493095602521	-0.512098743490664	"13875"	"Erf"	"Ets2 repressor factor"	"yes"	"others"	"cluster 7"
"ENSMUSG00000058239"	-0.830427153892558	-0.302025547595751	0.080729542479978	-4.70864943217378e-05	-0.144744040168301	"22282"	"Usf2"	"upstream transcription factor 2"	"yes"	"others"	"cluster 6"
"ENSMUSG00000056216"	-1.70712840167712	-0.565178194649226	-0.530653729975413	0.00435863231463114	-0.24827243810485	"12611"	"Cebpg"	"CCAAT/enhancer binding protein (C/EBP), gamma"	"yes"	"others"	"cluster 7"
"ENSMUSG00000034957"	-0.693247605765345	-0.461228761863093	-0.236293558661331	-0.00281696089763932	-0.730487030407725	"12606"	"Cebpa"	"CCAAT/enhancer binding protein (C/EBP), alpha"	"yes"	"others"	"cluster 6"
"ENSMUSG00000008193"	0.0947850988896037	0.140688638790763	-0.0245632005268193	0.000227993209719965	-0.00685036156592461	"272382"	"Spib"	"Spi-B transcription factor (Spi-1/PU.1 related)"	"yes"	"others"	"cluster 5"
"ENSMUSG00000003184"	0.319586137365081	-0.122611457322785	0.106071842125067	0.00409259765884821	0.253099918537916	"54131"	"Irf3"	"interferon regulatory factor 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000059824"	-1.52569368950711	-0.59801174805163	-1.8906867512952	-0.00564434758897729	-1.65742887241446	"13170"	"Dbp"	"D site albumin promoter binding protein"	"yes"	"others"	"cluster 7"
"ENSMUSG00000052040"	2.07221477872797	1.27166529843054	0.507184128307499	0.00448179331679464	1.31111995216501	"50794"	"Klf13"	"Kruppel-like factor 13"	"yes"	"PC1"	"cluster 2"
"ENSMUSG00000055116"	0.0317958307520688	0.179958686763083	0.0508004592744162	0.00225251107531141	0.0164736132275147	"11865"	"Arntl"	"aryl hydrocarbon receptor nuclear translocator-like"	"yes"	"others"	"cluster 5"
"ENSMUSG00000009248"	-0.838235648852169	-0.178006941063725	-0.316539491284337	0.00534642757365764	0.0152838214858	"17173"	"Ascl2"	"achaete-scute family bHLH transcription factor 2"	"yes"	"others"	"cluster 6"
"ENSMUSG00000019982"	-0.458937258192884	0.17830047840811	0.238383415615523	-0.00265775285418201	0.111877625865045	"17863"	"Myb"	"myeloblastosis oncogene"	"yes"	"others"	"cluster 5"
"ENSMUSG00000048756"	-0.528712443928245	-0.049611394281397	-0.505181723959512	0.00210522108195757	-0.084532523113897	"56484"	"Foxo3"	"forkhead box O3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000019803"	0.0149413589401757	0.0131840427423218	0.00101543018619415	-2.92056886017083e-05	-0.000747296161444389	"21907"	"Nr2e1"	"nuclear receptor subfamily 2, group E, member 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000038151"	-1.39016732488693	-0.633601217884372	-1.50286992654148	4.96086488751245e-05	-0.883242611093591	"12142"	"Prdm1"	"PR domain containing 1, with ZNF domain"	"yes"	"others"	"cluster 7"
"ENSMUSG00000037868"	0.50362159735127	-0.0134835268858273	-0.181911044468084	-0.00153765370213174	-0.568174767619437	"13654"	"Egr2"	"early growth response 2"	"yes"	"others"	"cluster 5"
"ENSMUSG00000020167"	0.244763824439783	-0.209672499206527	0.173128998860062	-0.0176741698208473	-0.299982159675007	"21423"	"Tcf3"	"transcription factor 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000035397"	-0.0213060128333945	-0.379566339140778	-0.301400868661839	0.00388408067539123	0.00723247423070103	"118445"	"Klf16"	"Kruppel-like factor 16"	"yes"	"others"	"cluster 5"
"ENSMUSG00000035011"	0.164800462745918	0.0439560211084538	-0.4369232012964	0.00421224441143901	-0.0211872189608919	"16969"	"Zbtb7a"	"zinc finger and BTB domain containing 7a"	"yes"	"others"	"cluster 5"
"ENSMUSG00000055053"	-1.2549018136521	-0.220444011575438	-0.58675576825328	-0.0131421427265376	-0.281934601228929	"18029"	"Nfic"	"nuclear factor I/C"	"yes"	"others"	"cluster 6"
"ENSMUSG00000020248"	0.593058272489664	0.06444775906353	-0.265150658699635	0.000166518272902476	0.319348537709804	"18045"	"Nfyb"	"nuclear transcription factor-Y beta"	"yes"	"others"	"cluster 5"
"ENSMUSG00000008398"	-0.258985268369004	-0.399474646633229	-0.111973762275955	0.00129579098146303	-0.462129773183208	"13713"	"Elk3"	"ELK3, member of ETS oncogene family"	"yes"	"others"	"cluster 5"
"ENSMUSG00000025408"	-0.122796374478077	-0.0407918765054204	-0.199365181344672	0.00184263245247044	-0.0299796639172408	"13198"	"Ddit3"	"DNA-damage inducible transcript 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000040033"	2.27515241532755	1.25622606193592	1.69635835642801	0.0074535224725137	0.25994448319852	"20847"	"Stat2"	"signal transducer and activator of transcription 2"	"yes"	"PC1"	"cluster 2"
"ENSMUSG00000038482"	0.838519739858709	0.0753981634220239	0.732558361604687	0.000722612446113198	-0.073716365177647	"21781"	"Tfdp1"	"transcription factor Dp 1"	"yes"	"others"	"cluster 3"
"ENSMUSG00000037214"	0.105867554103987	-0.0113963342196886	-0.0593762131468831	0.00403195241530416	-0.0454101139727467	"73754"	"Thap1"	"THAP domain containing, apoptosis associated protein 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000031627"	0.645510360724534	0.0478607770031782	-0.103896158283067	-0.00183374201441489	-0.00530503465371412	"16363"	"Irf2"	"interferon regulatory factor 2"	"yes"	"others"	"cluster 5"
"ENSMUSG00000071076"	0.0603909516463685	-0.0455580851466667	-0.179029494055684	0.000656349925172758	-0.254659047361626	"16478"	"Jund"	"jun D proto-oncogene"	"yes"	"others"	"cluster 5"
"ENSMUSG00000031618"	-2.38770463636695	-0.235468592071671	-0.541953085991955	-0.00261893470400715	-0.0135188628260568	"110784"	"Nr3c2"	"nuclear receptor subfamily 3, group C, member 2"	"yes"	"others"	"cluster 7"
"ENSMUSG00000031706"	0.369614881986757	-0.0594481701540608	0.368399964715306	-0.0153336121674078	0.0730343114616341	"19724"	"Rfx1"	"regulatory factor X, 1 (influences HLA class II expression)"	"yes"	"others"	"cluster 5"
"ENSMUSG00000001911"	-1.26296118308267	-0.246716018173504	-0.575751936862356	-0.000847439154290268	-0.211125370803202	"18032"	"Nfix"	"nuclear factor I/X"	"yes"	"others"	"cluster 6"
"ENSMUSG00000054191"	0	0	0	0	0	"16596"	"Klf1"	"Kruppel-like factor 1 (erythroid)"	"yes"	"others"	"cluster 5"
"ENSMUSG00000052837"	1.35323988546415	0.215023289647488	0.214281149834153	-0.00737480961537944	-0.285727420226806	"16477"	"Junb"	"jun B proto-oncogene"	"yes"	"PC2"	"cluster 3"
"ENSMUSG00000014859"	0.44694249612242	-0.0130349846679728	0.236755736265359	-0.00773945861909527	0.0970524051536936	"104394"	"E2f4"	"E2F transcription factor 4"	"yes"	"others"	"cluster 5"
"ENSMUSG00000005698"	-0.233739484946144	0.121438664184713	-0.106038243218532	0.0845488765622421	-0.148800557851499	"13018"	"Ctcf"	"CCCTC-binding factor"	"yes"	"others"	"cluster 5"
"ENSMUSG00000055435"	-1.39287228058007	-0.0963606296405199	-1.37993003859622	0.00106362620801795	-0.208880018990112	"17132"	"Maf"	"avian musculoaponeurotic fibrosarcoma oncogene homolog"	"yes"	"others"	"cluster 7"
"ENSMUSG00000041515"	-0.684780366228005	-0.0181495463333068	-0.377863485574899	-0.00229875460966992	-0.0162353932859673	"15900"	"Irf8"	"interferon regulatory factor 8"	"yes"	"others"	"cluster 6"
"ENSMUSG00000021779"	-0.230805608341756	-0.00457758213670888	0.0140621144594211	-0.000108211287965319	-0.0033095407349959	"21834"	"Thrb"	"thyroid hormone receptor beta"	"yes"	"others"	"cluster 5"
"ENSMUSG00000052435"	0.201081504295831	-0.249028791305173	-0.481763376820242	0.0048308527584599	0.00822276730370096	"110794"	"Cebpe"	"CCAAT/enhancer binding protein (C/EBP), epsilon"	"yes"	"others"	"cluster 5"
"ENSMUSG00000002325"	1.105551782908	0.24497124620928	1.05211229323468	-0.00814068714395105	0.459685827898314	"16391"	"Irf9"	"interferon regulatory factor 9"	"yes"	"others"	"cluster 4"
"ENSMUSG00000033730"	-0.467004715683694	-0.051975187361663	-0.474201257311477	-0.0124140542870927	-1.21297976734762	"13655"	"Egr3"	"early growth response 3"	"yes"	"others"	"cluster 7"
"ENSMUSG00000036461"	-0.0349512646710179	0.318107942518141	-0.44000335165017	0.00920613529216201	-0.189649829872107	"13709"	"Elf1"	"E74-like factor 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000005148"	-0.130586305156118	0.0266151780198508	0.00740362938502104	-0.00266991495054627	-0.212912233873643	"12224"	"Klf5"	"Kruppel-like factor 5"	"yes"	"others"	"cluster 5"
"ENSMUSG00000072294"	-2.05473536769491	-0.0268736206111372	-0.887146612440414	-0.00596479558858657	-0.427273008423127	"16597"	"Klf12"	"Kruppel-like factor 12"	"yes"	"others"	"cluster 7"
"ENSMUSG00000016087"	-1.61680056810003	-0.0661906069711915	-0.629110712914234	-0.00273073916172015	-0.126117399765519	"14247"	"Fli1"	"Friend leukemia integration 1"	"yes"	"others"	"cluster 6"
"ENSMUSG00000032035"	-0.517990579079955	-0.0856371371020436	-0.66205568663361	0.00320699124334967	-0.349195748885087	"23871"	"Ets1"	"E26 avian leukemia oncogene 1, 5' domain"	"yes"	"PC2"	"cluster 6"
"ENSMUSG00000032119"	0.583996473980404	0.405701095227875	0.228945020042065	-0.00400107528460722	0.246983814055581	"102423"	"Hinfp"	"histone H4 transcription factor"	"yes"	"others"	"cluster 5"
"ENSMUSG00000032402"	-0.327551482456705	-0.5138198161442	-0.332681555660672	0.00515961456280734	-0.0641925390890612	"17127"	"Smad3"	"SMAD family member 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000032228"	0.332093589818742	0.257512805042749	0.0385936471400289	0.00921625621410589	0.233794640487738	"21406"	"Tcf12"	"transcription factor 12"	"yes"	"others"	"cluster 5"
"ENSMUSG00000032368"	-0.0247133423907971	0.0210007132948039	0.00184340783806442	-4.81596810698801e-05	-0.00132614547956753	"22771"	"Zic1"	"zinc finger protein of the cerebellum 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000020484"	0.700715307849701	-0.0434934899240482	0.460595508514847	0.000275539458701143	0.750894037004105	"22433"	"Xbp1"	"X-box binding protein 1"	"yes"	"others"	"cluster 4"
"ENSMUSG00000020160"	-0.187815774256797	-0.0999309909438067	0.0301057074408914	0.00389660953611047	0.0655167200618259	"17268"	"Meis1"	"Meis homeobox 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000020275"	-0.249269399467848	0.147622727783512	-0.296246916659688	-0.00194267732595249	-0.183440501163177	"19696"	"Rel"	"reticuloendotheliosis oncogene"	"yes"	"others"	"cluster 5"
"ENSMUSG00000018899"	1.27970446431188	0.458348924844578	0.394646425641249	-0.00316228454622642	-0.0824366169286257	"16362"	"Irf1"	"interferon regulatory factor 1"	"yes"	"others"	"cluster 3"
"ENSMUSG00000020538"	0.666090813706721	0.0235458250297246	0.563964744346402	-0.00103998522842787	0.440445566046305	"20787"	"Srebf1"	"sterol regulatory element binding transcription factor 1"	"yes"	"others"	"cluster 4"
"ENSMUSG00000023781"	-0.209497962609178	-0.0584746073448416	-0.0495406553675974	-0.00606780519761891	-0.399079522749186	"84653"	"Hes7"	"hes family bHLH transcription factor 7"	"yes"	"others"	"cluster 5"
"ENSMUSG00000000317"	0.0290195060462338	-0.00630132614462541	0.00110776352558823	-3.14989343664874e-05	-0.000813887049413726	"12029"	"Bcl6b"	"B cell CLL/lymphoma 6, member B"	"yes"	"others"	"cluster 5"
"ENSMUSG00000000282"	-0.362248593231288	-0.286258583961271	-0.124254917112991	0.000120616075777849	0.0888798029810753	"17428"	"Mnt"	"max binding protein"	"yes"	"others"	"cluster 5"
"ENSMUSG00000043099"	0.00949928799157676	-0.00158748201539535	0.00231687972200216	0.000570735687788683	-0.0320444767938182	"15248"	"Hic1"	"hypermethylated in cancer 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000003949"	-2.89668243365337	-0.432022095855447	-3.31396909215226	-0.0582883122921474	-1.84528130562924	"217082"	"Hlf"	"hepatic leukemia factor"	"yes"	"others"	"cluster 8"
"ENSMUSG00000038615"	0.989670965348529	0.0986879087474169	0.129044108386065	-0.0061650997600877	0.197345124047126	"18023"	"Nfe2l1"	"nuclear factor, erythroid derived 2,-like 1"	"yes"	"others"	"cluster 3"
"ENSMUSG00000018678"	0.203031958091172	0.0222111544292555	-0.156367783146194	0.00784745237701396	0.22403002507039	"78912"	"Sp2"	"Sp2 transcription factor"	"yes"	"others"	"cluster 5"
"ENSMUSG00000058756"	-1.39625357544558	0.129492100838991	-0.420753776814178	0.0026371224081549	-0.34832980862426	"21833"	"Thra"	"thyroid hormone receptor alpha"	"yes"	"others"	"cluster 6"
"ENSMUSG00000037992"	0.566572564294873	0.103774040639022	0.467196662605694	-0.00328608852674827	0.161554331573032	"19401"	"Rara"	"retinoic acid receptor, alpha"	"yes"	"others"	"cluster 5"
"ENSMUSG00000017801"	0.560546199198339	0.232066594071141	0.0397872291973268	-0.000274401016091523	0.189355907303318	"21428"	"Mlx"	"MAX-like protein X"	"yes"	"others"	"cluster 5"
"ENSMUSG00000017724"	-0.239827955245907	0.279964715698162	0.411048765035166	0.0112925065721809	1.24402676523706	"18612"	"Etv4"	"ets variant 4"	"yes"	"others"	"cluster 5"
"ENSMUSG00000051510"	0.152082187351932	0.449432377363365	-0.206914405996058	-0.0177860237677263	0.554996055554993	"17134"	"Mafg"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)"	"yes"	"others"	"cluster 5"
"ENSMUSG00000016477"	0.147632445928175	-0.00332360844116445	0.0317473362489782	-0.0179877879405716	-0.567625901590152	"13557"	"E2f3"	"E2F transcription factor 3"	"yes"	"others"	"cluster 5"
"ENSMUSG00000021356"	-0.921535115174517	-0.570010500800995	-0.16760790339462	-0.00101465256379343	-0.497225076322834	"16364"	"Irf4"	"interferon regulatory factor 4"	"yes"	"others"	"cluster 6"
"ENSMUSG00000021379"	0.310016254438644	0.150137452143163	-0.0983727796382718	-0.000456843819350451	-0.00257486477938545	"15904"	"Id4"	"inhibitor of DNA binding 4"	"yes"	"others"	"cluster 5"
"ENSMUSG00000056749"	4.0165452439989	2.03382260659112	1.11113308406075	0.019439743014733	2.91393577528175	"18030"	"Nfil3"	"nuclear factor, interleukin 3, regulated"	"yes"	"shared"	"cluster 1"
"ENSMUSG00000057469"	0.792906888742451	0.336186611454019	0.196178159450788	-0.0016318700354588	0.378945261327237	"50496"	"E2f6"	"E2F transcription factor 6"	"yes"	"others"	"cluster 3"
"ENSMUSG00000020656"	1.41547925415016	0.120061019018987	0.153198143508022	-0.000156952425726909	-0.00479673830712197	"195733"	"Grhl1"	"grainyhead like transcription factor 1"	"yes"	"others"	"cluster 3"
"ENSMUSG00000020644"	3.31696024006954	2.07561252819445	1.5495941601208	0.00393882019039918	0.907419043010361	"15902"	"Id2"	"inhibitor of DNA binding 2"	"yes"	"shared"	"cluster 1"
"ENSMUSG00000002996"	-0.973434779048831	-0.348893873308968	-0.100891505750683	-0.00220190077796511	-0.172482999876346	"73389"	"Hbp1"	"high mobility group box transcription factor 1"	"yes"	"others"	"cluster 6"
"ENSMUSG00000019256"	3.90648181337369	3.41936818109697	0.471952397727814	0.00396497999135604	2.19290438659674	"11622"	"Ahr"	"aryl-hydrocarbon receptor"	"yes"	"PC1"	"cluster 1"
"ENSMUSG00000004151"	-1.5796176015483	-0.160530502347813	-1.04440159561636	-0.00783745758774055	-1.5168228252696	"14009"	"Etv1"	"ets variant 1"	"yes"	"others"	"cluster 7"
"ENSMUSG00000021109"	0.606022179770495	0.10583097707882	-0.483851710630532	-0.000908523374167809	-0.269207488714508	"15251"	"Hif1a"	"hypoxia inducible factor 1, alpha subunit"	"yes"	"others"	"cluster 5"
"ENSMUSG00000059436"	0.259680494954806	-0.0546596944305347	0.209419766446122	0.0108402753184032	0.0133188231231464	"17187"	"Max"	"Max protein"	"yes"	"others"	"cluster 5"
"ENSMUSG00000042472"	0.490297933969756	0.108425652469545	-0.0649277778493675	0.00316005447320698	-0.0397916678865491	"52708"	"Zfp410"	"zinc finger protein 410"	"yes"	"others"	"cluster 5"
"ENSMUSG00000021250"	1.19615038918112	0.293161158021603	0.0216877140693579	-0.00143350988105896	-0.280696653599708	"14281"	"Fos"	"FBJ osteosarcoma oncogene"	"yes"	"PC2"	"cluster 3"
"ENSMUSG00000034271"	3.06756589549742	0.984750208933178	1.39724260826635	-0.00300914819759209	0.740791715829268	"81703"	"Jdp2"	"Jun dimerization protein 2"	"yes"	"shared"	"cluster 2"
"ENSMUSG00000034266"	1.42232498447938	0.606928460916556	1.20182783401374	0.00333446778414502	0.892148699302221	"53314"	"Batf"	"basic leucine zipper transcription factor, ATF-like"	"yes"	"others"	"cluster 2"
"ENSMUSG00000025323"	-0.478411971759904	0.0710780426343898	-0.829032505373334	-0.00556081613412745	-0.830056375570949	"20688"	"Sp4"	"trans-acting transcription factor 4"	"yes"	"others"	"cluster 7"
"ENSMUSG00000022346"	1.85219720995395	0.515329330176214	1.31073124673226	0.00767733538630505	1.33472715721013	"17869"	"Myc"	"myelocytomatosis oncogene"	"yes"	"others"	"cluster 2"
"ENSMUSG00000048385"	0.328946652494631	0.0217737170052386	-0.0312152044459953	-8.83904423948679e-05	-0.00266179060575085	"170729"	"Scrt1"	"scratch family zinc finger 1"	"yes"	"others"	"cluster 5"
"ENSMUSG00000042622"	2.37051540644848	0.191762245750147	0.281035892266702	-0.00435864111767296	0.00911692642579922	"17133"	"Maff"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)"	"yes"	"others"	"cluster 3"
"ENSMUSG00000042406"	1.53873125229957	0.290318994390759	0.0484687725310431	-0.00424424413726286	0.0278251758704746	"11911"	"Atf4"	"activating transcription factor 4"	"yes"	"others"	"cluster 3"
